aclew_child_id,age_mo_round,xds_mph,ods_mph,tds_mph,prop_tds,n_spkrs_clip,Sample,segment
2977,13,68.232,61.27199999999999,6.959999999999999,0.10200492437565951,8,Random,random-2
2977,13,65.88000000000001,63.024,2.832,0.04298724954462659,9,Random,random-3
2977,13,85.29599999999999,84.36000000000001,0.9359999999999999,0.010973550928531233,13,Random,random-4
2977,13,90.64800000000001,90.64800000000001,0,0,13,Random,random-5
2977,13,1.584,1.584,0,0,3,Random,random-6
2977,13,24.119999999999997,16.848,7.272,0.30149253731343284,7,Random,random-7
2977,13,79.104,79.104,0,0,8,Random,random-8
2977,13,75.12,59.688,15.431999999999999,0.20543130990415337,15,Random,random-9
3729,3.5,44.448,42.839999999999996,1.608,0.036177105831533475,12,Random,random-1
3729,3.5,57.288,40.152,17.136,0.2991202346041056,5,Random,random-2
3729,3.5,48.096,47.64,0.456,0.009481037924151696,8,Random,random-3
3729,3.5,18,11.808,6.192,0.34400000000000003,3,Random,random-4
3729,3.5,62.64,62.64,0,0,6,Random,random-5
3729,3.5,53.088,53.088,0,0,5,Random,random-6
3729,3.5,55.656,52.632,3.024,0.054333764553686936,7,Random,random-7
3729,3.5,52.632,52.152,0.456,0.008663930688554491,8,Random,random-8
3729,3.5,103.51199999999999,103.51199999999999,0,0,9,Random,random-9
3956,26,59.88,39.168,20.688,0.34549098196392786,9,Random,random-1
3956,26,66.09599999999999,63.23999999999999,2.856,0.043209876543209874,10,Random,random-2
3956,26,10.584,3.84,6.744000000000001,0.63718820861678,5,Random,random-3
3956,26,20.016000000000002,15.504000000000001,4.5120000000000005,0.22541966426858515,5,Random,random-4
3956,26,10.152,0,10.152,1,1,Random,random-5
3956,26,0.6,0,0.6,1,1,Random,random-6
3956,26,16.344,12.936,3.408,0.2085168869309838,8,Random,random-7
3956,26,13.416,6.288,7.152,0.5330948121645795,4,Random,random-8
3956,26,99.912,99.648,0.24,0.002402113860196973,12,Random,random-9
4569,20,2.88,2.88,0,0,2,Random,random-1
4569,20,16.008000000000003,11.303999999999998,4.5120000000000005,0.2818590704647676,4,Random,random-2
4569,20,19.008000000000003,15.84,3.144,0.16540404040404041,6,Random,random-3
4569,20,2.496,0.864,1.6320000000000001,0.653846153846154,2,Random,random-4
4569,20,54.192,52.368,1.824,0.03365810451727192,7,Random,random-5
4569,20,22.056,22.056,0,0,7,Random,random-6
4569,20,56.400000000000006,56.400000000000006,0,0,8,Random,random-7
4569,20,52.248000000000005,52.007999999999996,0.26399999999999996,0.005052824988516306,5,Random,random-8
4569,20,37.992,33,5.016,0.13202779532533165,6,Random,random-9
5019,36,33.264,30.816000000000003,2.448,0.0735930735930736,2,Random,random-1
5019,36,37.92,31.272,6.672000000000001,0.1759493670886076,6,Random,random-2
5019,36,40.728,39.144,1.584,0.038892162639952856,6,Random,random-3
5019,36,64.752,60.504,4.272,0.06597479614529281,19,Random,random-4
5019,36,24.887999999999998,17.952,6.912,0.2777242044358727,4,Random,random-5
5019,36,18.288,17.088,1.2,0.06561679790026247,4,Random,random-6
5019,36,7.199999999999999,0.8879999999999999,6.312,0.8766666666666667,3,Random,random-7
5019,36,30.432,29.640000000000004,0.792,0.026025236593059938,8,Random,random-8
5019,36,19.176,12.360000000000001,6.816,0.3554443053817271,5,Random,random-9
6934,17,23.112,22.56,0.552,0.023883696780893044,8,Random,random-1
6934,17,5.928,5.928,0,0,1,Random,random-2
6934,17,82.80000000000001,82.80000000000001,0,0,9,Random,random-3
6934,17,37.104000000000006,32.208000000000006,4.919999999999999,0.13260025873221215,8,Random,random-4
6934,17,16.152,16.152,0,0,6,Random,random-5
6934,17,25.968,25.200000000000003,0.768,0.029574861367837338,5,Random,random-6
6934,17,29.304000000000002,25.536,3.768,0.12858312858312856,6,Random,random-7
6934,17,25.344,22.032,3.2880000000000003,0.12973484848484848,7,Random,random-8
6934,17,47.64,46.752,0.8879999999999999,0.018639798488664986,5,Random,random-9
8018,9,52.70400000000001,47.016000000000005,5.688,0.10792349726775954,8,Random,random-1
8018,9,49.632000000000005,47.208000000000006,2.4240000000000004,0.0488394584139265,9,Random,random-2
8018,9,28.415999999999997,23.832,4.584,0.16131756756756757,7,Random,random-3
8018,9,26.28,26.136,0.12,0.004566210045662101,7,Random,random-4
8018,9,28.704,28.488,0.216,0.007525083612040133,8,Random,random-5
8018,9,1.1280000000000001,1.1280000000000001,0,0,1,Random,random-6
8018,9,29.880000000000003,29.880000000000003,0,0,3,Random,random-7
8018,9,57.696,53.04,4.656000000000001,0.08069883527454244,8,Random,random-8
8018,9,48.096,46.728,1.368,0.028443113772455092,8,Random,random-9
8427,1,13.824,8.832,4.992,0.3611111111111111,4,Random,random-1
8427,1,11.184000000000001,8.856,2.3280000000000003,0.20815450643776823,4,Random,random-2
8427,1,16.632,16.632,0,0,4,Random,random-3
8427,1,39.024,38.208,0.8160000000000001,0.020910209102091022,10,Random,random-4
8427,1,56.352,56.352,0,0,5,Random,random-5
8427,1,22.152,16.992,5.159999999999999,0.23293607800650054,3,Random,random-6
8427,1,8.184000000000001,8.184000000000001,0,0,2,Random,random-7
8427,1,28.176,20.663999999999998,7.5120000000000005,0.26660988074957415,2,Random,random-8
8427,1,7.103999999999999,7.103999999999999,0,0,4,Random,random-9
9732,4.5,22.68,18.504,4.176,0.1841269841269841,6,Random,random-1
9732,4.5,33.720000000000006,29.951999999999998,3.7439999999999998,0.11103202846975088,2,Random,random-2
9732,4.5,40.128,40.128,0,0,3,Random,random-3
9732,4.5,20.232,20.232,0,0,2,Random,random-4
9732,4.5,18.936,18.936,0,0,2,Random,random-5
9732,4.5,43.152,39.12,4.056,0.09399332591768632,2,Random,random-6
9732,4.5,92.25599999999999,81.336,10.944,0.11862643080124871,7,Random,random-7
9732,4.5,62.016000000000005,58.800000000000004,3.24,0.05224458204334365,9,Random,random-8
9732,4.5,61.488,58.68,2.8080000000000003,0.04566744730679158,12,Random,random-9
