effect,component,group,term,estimate,std.error,statistic,p.value,model
fixed,cond,NA,hsz.std,0.033357697329605494,0.12175935816952556,0.273964135743567,0.7841121830707105,ODS_turntaking_nb.v2
fixed,cond,NA,nsk.std,0.5597181280056519,0.0828311264719417,6.757340529411385,1.4054759822841764e-11,ODS_turntaking_nb.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amidday,-0.029569391546833183,0.3508577933936182,-0.08427742550857364,0.9328358603719744,ODS_turntaking_nb.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amorning,-0.17583462460205632,0.2035110302510803,-0.8640053779154947,0.3875849362607436,ODS_turntaking_nb.v2
fixed,cond,NA,tchiyr.std:nsk.std,-0.16430317061166563,0.10849009888247588,-1.514453137236518,0.12991095092764088,ODS_turntaking_nb.v2
ran_pars,cond,aclew_child_id,sd__(Intercept),0.2760350545081721,NA,NA,NA,ODS_turntaking_nb.v2
fixed,cond,NA,(Intercept),2.554123216906014,0.28623890814953296,8.923046951994817,4.536323311630232e-19,ODS_turntaking_log_gaus
fixed,cond,NA,tchiyr.std,-0.11827295548065132,0.2974540934698167,-0.3976175083052025,0.690912152644968,ODS_turntaking_log_gaus
fixed,cond,NA,stthr.trimorning,0.37439066133297805,0.3232463412076887,1.1582208786469408,0.24677391009839691,ODS_turntaking_log_gaus
fixed,cond,NA,stthr.triafternoon,0.3122616797757756,0.30490799209926917,1.024117726878449,0.30577967243289905,ODS_turntaking_log_gaus
fixed,cond,NA,hsz.std,0.04490208023250906,0.1270957380622227,0.35329335914101373,0.7238685235905038,ODS_turntaking_log_gaus
fixed,cond,NA,nsk.std,0.7544586157169285,0.1121534542780128,6.727020764306827,1.7317203693615467e-11,ODS_turntaking_log_gaus
fixed,cond,NA,tchiyr.std:stthr.trimorning,-0.06997241436501392,0.2951591420106949,-0.2370667358915094,0.8126050177560444,ODS_turntaking_log_gaus
fixed,cond,NA,tchiyr.std:stthr.triafternoon,0.20963334449025164,0.29913428117352403,0.7008001345343832,0.4834277540989682,ODS_turntaking_log_gaus
fixed,cond,NA,tchiyr.std:nsk.std,-0.19908038259953062,0.14488994999926058,-1.3740109828221114,0.16943827281959184,ODS_turntaking_log_gaus
ran_pars,cond,aclew_child_id,sd__(Intercept),0.26511660361177153,NA,NA,NA,ODS_turntaking_log_gaus
ran_pars,cond,Residual,sd__Observation,0.6066013516865387,NA,NA,NA,ODS_turntaking_log_gaus
fixed,cond,NA,(Intercept),2.866381271571782,0.16741390774777076,17.12152419194665,1.0255461693219232e-65,ODS_turntaking_log_gaus.v2
fixed,cond,NA,tchiyr.std,0.09135878781203734,0.20279841497714604,0.4504906402859846,0.6523567015382257,ODS_turntaking_log_gaus.v2
fixed,cond,NA,stthr.tri.amidday,-0.31226782438414274,0.3049082228095276,-1.0241371042958476,0.3057705211095046,ODS_turntaking_log_gaus.v2
fixed,cond,NA,stthr.tri.amorning,0.06213052763310621,0.22016474480794054,0.2822001664585555,0.7777900306902232,ODS_turntaking_log_gaus.v2
fixed,cond,NA,hsz.std,0.04490051917863507,0.12709620059338672,0.35327979096938805,0.7238786944800465,ODS_turntaking_log_gaus.v2
fixed,cond,NA,nsk.std,0.7544568958237327,0.11215361201672935,6.726995967915811,1.732015383125167e-11,ODS_turntaking_log_gaus.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amidday,-0.20962619252816767,0.2991344534641733,-0.7007758220444311,0.4834429290629009,ODS_turntaking_log_gaus.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amorning,-0.27960462378695333,0.22417661887380735,-1.2472514983569598,0.21230529538943418,ODS_turntaking_log_gaus.v2
fixed,cond,NA,tchiyr.std:nsk.std,-0.1990812214933291,0.14489012282560548,-1.374015133750351,0.16943698418308675,ODS_turntaking_log_gaus.v2
ran_pars,cond,aclew_child_id,sd__(Intercept),0.2651183852485863,NA,NA,NA,ODS_turntaking_log_gaus.v2
ran_pars,cond,Residual,sd__Observation,0.6066017626431762,NA,NA,NA,ODS_turntaking_log_gaus.v2
